City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Caucaia,BR,-3.7361,-38.6531,76.03,83,75,5.75,thunderstorm with heavy rain
284,Buala,SB,-8.145,159.5921,83.97,71,63,3.6,broken clouds
285,Salalah,OM,17.0151,54.0924,84.29,79,0,5.75,clear sky
286,Dingle,PH,10.9995,122.6711,89.51,57,99,12.84,overcast clouds
287,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,43,0,6.91,clear sky
288,Mitsamiouli,KM,-11.3847,43.2844,81.64,72,40,10.31,scattered clouds
289,Sochi,RU,43.6,39.7303,60.89,67,89,3.87,overcast clouds
290,Lorengau,PG,-2.0226,147.2712,84.25,74,98,4.38,overcast clouds
291,Golub-Dobrzyn,PL,53.1109,19.0538,42.55,67,50,7.56,scattered clouds
292,Kokopo,PG,-4.352,152.2633,83.23,76,32,4.5,light rain
293,Campo Gobierno,MX,24.6536,-107.5411,70.05,88,0,0.0,clear sky
294,Pacific Grove,US,36.6177,-121.9166,55.02,93,25,3.0,scattered clouds
295,Clyde River,CA,70.4692,-68.5914,12.43,92,100,5.75,light snow
296,Mareeba,AU,-17.0,145.4333,82.44,64,26,8.37,scattered clouds
297,Quatre Cocos,MU,-20.2078,57.7625,81.09,82,56,9.66,light rain
298,Ust-Ishim,RU,57.6935,71.1665,64.62,42,100,11.1,overcast clouds
299,Abha,SA,18.2164,42.5053,57.45,72,0,0.0,clear sky
300,Carauari,BR,-4.8828,-66.8958,74.66,92,96,0.6,overcast clouds
301,Lewiston,US,44.1003,-70.2148,40.89,96,100,3.44,overcast clouds
302,Port Macquarie,AU,-31.4333,152.9167,67.89,73,100,4.61,overcast clouds
303,Jalu,LY,29.0331,21.5482,69.55,29,0,8.66,clear sky
304,Aswan,EG,24.0934,32.907,80.33,14,0,7.31,clear sky
305,Fairbanks,US,64.8378,-147.7164,39.54,49,75,5.75,broken clouds
306,Benghazi,LY,32.1167,20.0667,63.82,80,0,10.02,clear sky
307,Sidi Ali,DZ,36.0998,0.4206,62.13,50,12,2.1,few clouds
308,Kalmunai,LK,7.4167,81.8167,86.34,68,80,8.34,light rain
309,Cairns,AU,-16.9167,145.7667,87.06,82,75,16.11,broken clouds
310,Coihaique,CL,-45.5752,-72.0662,41.61,75,20,3.44,few clouds
311,Makakilo City,US,21.3469,-158.0858,79.12,70,40,13.8,scattered clouds
312,Fare,PF,-16.7,-151.0167,82.04,77,39,7.43,scattered clouds
313,Soyo,AO,-6.1349,12.3689,78.31,92,99,3.04,overcast clouds
314,Rio Gallegos,AR,-51.6226,-69.2181,42.85,52,0,14.97,clear sky
315,Atar,MR,20.5169,-13.0499,84.38,23,0,4.92,clear sky
316,Porbandar,IN,21.6422,69.6093,83.17,59,87,7.25,overcast clouds
317,Choix,MX,26.7092,-108.3219,70.21,42,0,3.24,clear sky
318,Vao,NC,-22.6667,167.4833,72.79,86,98,39.21,overcast clouds
319,Kalang,PH,5.9197,121.3631,85.06,64,100,1.88,overcast clouds
320,Meulaboh,ID,4.1363,96.1285,86.31,66,67,5.35,broken clouds
321,Gualaco,HN,15.05,-86.05,70.43,65,52,3.47,broken clouds
322,Lervik,GB,60.1545,-1.1494,32.0,58,67,7.09,broken clouds
323,Lerwick,GB,60.1545,-1.1494,32.0,58,67,7.09,broken clouds
324,Atikokan,CA,48.7555,-91.6216,32.47,98,100,10.6,snow
325,Hammerfest,NO,70.6634,23.6821,41.45,65,0,9.22,clear sky
326,Rawson,AR,-43.3002,-65.1023,55.81,75,38,12.97,scattered clouds
327,Enshi,CN,30.3,109.4833,64.8,76,96,4.74,overcast clouds
328,Ostersund,SE,63.1792,14.6357,32.45,100,100,0.0,snow
329,Matinhos,BR,-25.8175,-48.5428,66.97,88,0,5.7,clear sky
330,Sisimiut,GL,66.9395,-53.6735,28.45,88,57,9.62,broken clouds
331,Muros,ES,42.7762,-9.0603,60.67,95,99,3.2,overcast clouds
332,Varhaug,NO,58.6147,5.6457,39.47,72,27,18.79,scattered clouds
333,Beyneu,KZ,45.3167,55.2,68.25,62,100,7.7,overcast clouds
334,Rivadavia,AR,-33.1905,-68.4608,61.88,55,88,2.89,overcast clouds
